TEST NAME,PRICE IN RUPEES
WIEL FELIX TEST,1440
URINE CALCIUM - SPOT,180
GAMMA GT,250
IRON,492
VITAMIN E,5508
"NEUROBLASTOMA PROFILE, 24 HOUR URINE",7200
PHENYTOIN - EPTOIN,1600
GANGLIOSIDE ANTIBODY PROFILE IgG SERUM,580
URINE FOR EOSINOPHILS,414
"HELICOBACTER PYLORI, ANTIBODIES PANEL, IgG and IgA",4896
X-RAY - WRIST AP,350
MTB PCR,3672
"UROBILINOGEN, QUALITATIVE, 24-HOUR URINE",440
"SEROTONIN, 24 HOUR URINE",7368
"HEPATITIS A ANTIBODY (ANTI HAV),IgM",1800
FIBRINOGEN DEGRADATION PRODUCT - FDP,1836
X-RAY - KUB,350
URINE ACETONE,120
IRON SATURATION INDEX,1320
HAEMOGLOBIN A1C,500
TYPHI DOT/ SALMONELLA TYPHI IgM,960
PAP SMEAR,1200
SALMONELLA TYPHI AND PARATYPHI A ANTIGEN DETECTION,960
"PARTIAL THROMBOPLASTIN TIME, ACTIVATED,PTT,APTT",500
"METANEPHRINES, FRACTIONATED - URINE",7440
RENIN ACTIVITY,6360
SGOT - AST,150
X-RAY - SHOULDER LAT VIEW,350
TOXIC ELEMENTS,2400
OSTEOPOROSIS PANEL,3598.8
"PROTEIN S FUNCTIONAL,ACTIVITY",4440
RED CELL DISTRIBUTION WITH SD,372
"HHH SYNDROME HYPERORNITHINEMIA - HYPERAMMONEMIA - HOMOCITRULLINURIA SYNDROME (LC-MS/MS, GC-MS",9120
VITAMIN B12,1000
"NICOTINE SCREEN, URINE",3060
"HOMOCYSTEINE, QUANTITATIVE",1140
OSMOTIC FRAGILITY OF ERYTHROCYTES,600
NATURAL KILLER CELLS,5040
VON WILLEBRAND DISEASE PANEL,12960
VITAMIN SCREEN,1800
SJOGRENS SYNDROME ANTIBODIES,24600
SARS-COV-2 (COVID-19) IGG ANTIBODY,1920
PRE-ECLAMPSIA SCREENING PANEL,3360
"STEROID PANEL 3,15 STEROIDS",5160
MRI - SHOULDER WITH CERVICAL SPINE SCREENING,7200
SEX HORMONE BINDING GLOBULIN - SHBG,3060
"UREA, FLUID",250
OSTEOCALCIN,3480
RUBELLA - IgG,1500
STEROID PANEL FOR PCOS / CAH DIFFERENTIATION,3838.8
UREA,120
SUGAR - BODY FLUID,180
"OSMOLAL GAP, SERUM",984
PROTEINS CSF TOTAL,600
X-RAY - CEPHELOGRAM,1350
"TESTOSTERONE TOTAL,",1104
"RHEUMATOID FACTOR (RA), SERUM",550
PROTEIN S,3600
URINE COTININE,500
TOTAL ACID PHOSPHATASE,600
SEPSIS PANEL,4440
X-RAY - ANKLE OBLIQUE,350
"SEROTONIN (5-HT), SERUM",7344
VITAMIN B1  (THIAMINE PYROPHOSPHATE),4284
X-RAY - PELVIS WITH BOTH HIPS AP VIEW,350
PROTEIN C ANTIGEN,4800
X-RAY - LUMBOSACRAL SPINE AP/LAT VIEW,500
URINE SUGAR - PP,60
TACROLIMUS,4318.8
TB - IgM,540
"SICKLING, SCREENING TEST",250
TOTAL WBC COUNT - TC,120
"ZINC, 24-HOUR URINE",3084
LIPASE - SERUM,600
URINE PROTEIN CREATININE RATIO,400
TRIGLYCERIDES,250
UROPORPHYRIN,298.8
SMEAR FOR MP,250
TOXOPLASMA - IgG,1104
"STOOL EXAMINATION, pH REDUCING SUBSTANCES",300
X-RAY - TM JOINT LAT VIEW(OPEN,350
"STOOL EXAMINATION, OCCULT BLOOD",200
WESTERN BLOT FOR HIV-I & II,4440
VDRL,200
ULTRASOUND - CHEST,1400
URINE CREATININE -  SPOT,300
ULTRASOUND - ABDOMEN (MALE),1400
X-RAY - BOTH HIP AP,500
X-RAY - HAND AP OBLIQUE,500
X-RAY - FOOT AP OBLIQUE VIEW,500
TGL / HDL RATIO,180
URINE SUGAR,70
MEDICAL EXAMINATION REPORT,120
ANTI NUCLEAR ANTIBODY PROFILE (ANA PROFILE),4200
AFB STAIN CSF,500
FUNGAL STAIN CSF,500
ET SECTION GRAM STAIN,500
X-RAY FOREARM AP/LAT,500
bilirubin urine,150
X-RAY THIGH / FEMUR AP/LAT,500
X RAY ANKEL AP LAT,500
X RAY SHOULDER AP LAT,500
BOTH UPPER LIMBS ARTERIAL DOPPLER,4000
BOTH UPPER LIMBS VENOUS DOPPLER,4000
BOTH UPPER AND LOWER LIMBS ARTERIAL AND VENOUS DOPPLER,16000
Helicobacter Pylori Antigen - Qualitative,1900
RA FACTOR immunoturbidimetry,600
URINE KETONE BODIES,150
achr acetylcholine receptor antibodies,5000
anti musk antibody myasthenia gravis,8000
Ascitic Fluid Analysis,1800
cortisol  (7 to 9 AM),800
LEG AP/LAT VIEW,500
RECEPTOR ANTIBODIES(THYROID STIMULATING HORMONES),3500
UGT1 A1 GENE,12000
x ray with report,100
SURGERY TABLE CULTURE AND SENSITIVITY,500
SHADOWLESS LIGHT CULTUER AND SENSITIVITY,500
ANAESTHESIA MACHINE CULTURE AND SENSITIVITY,500
CARM MACHINE CULTURE AND SENSITIVITY,500
CAUTERY CULTURE AND SENSITIVITY,500
WALL SWAB CULTURE AND SENSITIVITY,500
FLOOR SWAB CULTURE AND SENSITIVITY,500
AFB culture MGIT (Mycobacteria Growth Indicator Tube),2530
KNEE AP/LAT VIEW,500
,
,
,
Profile Name,OP Price
NMO MOG ANTIBODY,8400
AG RATIO,276
RUBELLA IgG and IgM,1440
QUADRAPLE MARKER,3180
TRIPLE MARKER,2100
DOUBLE MARKER,2000
HORMONE PROFILE PADMASRI IVF,3192
LFT,500
DIABETIC SCREEN,1680
COMPLETE BLOOD COUNT (3P)  WITH ESR,450
IRON PROFILE,1200
DENGUE PROFILE WITH NS1,600
MINERAL SCREEN,900
CARDIAC RISK MARKERS,3660
ELECTROLYTES WITH CALCIUM,600
LIPID PROFILE,500
PRE DIABETIC SCREEN,900
PSA PROFILE,1920
COMPLETE BLOOD COUNT - 3P,350
FREE THYROID FUNCTION TEST,900
ANAEMIA PROFILE - MINI,2400
CANCER PROFILE - FEMALE,3000
OBESITY PANEL,5424
CANCER PROFILE - MALE,3000
THYROID TOTAL,1500
BILIRUBIN,180
TORCH IgM,1200
RENAL FUNCTION WITH ELECTROLYTES,780
TORCH PANEL,2400
THYROID FUNCTION TEST,500
TOTAL LFT,650
HAEMOGRAM (CBC with Smear Study),500
ELECTROLYTES,450
PANCREAS PROFILE,600
RENAL FUNCTION TEST 1,900
COMPLETE BLOOD PICTURE,450
BIOCHEMICAL ANALYSIS CSF,450
