TEST NAME,PRICE IN RUPEES
SERUM ASCITES ALBUMIN GRADIENT (SAAG),720
"HEPARIN INDUCED THROMBOCYTOPENIA (HIT) IgG ANTI PLATELET FACTOR 4 -HEPARIN (PF4-H), IgG QUANTITATIVE",13200
"ENTEROVIRUS ANTIGEN, STOOL",5700
IMMUNOGLOBULIN M - IgM,840
SCRUB TYPHUS - Igg  IgM,1440
ALPHA FETO PROTEIN - AFP,1440
"PROTEIN, TOTAL, CSF",1800
LISTERIA ANTIGEN STOOL,240
EBV - IGM,3672
NOREPINEPHRINE - BLOOD,12000
"HEPATITS E VIRUS DETECTION, PCR",9600
MEASLES ANTIBODY - IgM,4200
CT - RIGHT FOOT,5400
FATTY LIVER INDEX,1440
ALBUMIN AND IgG CSF,240
MRI - HIP WITH CONTRAST,9600
CYCLOSPORINE,6000
CULTURE MALASSAZIA,1860
RUBELLA - IgM,1104
"(1,3)-BETA-D-GLUCAN",12000
HBV DNA QUANTIFICATION,6720
ERYTHROCYTE COUNT,420
ABSOLUTE EOSINOPHIL COUNT,180
HSV  II -  IgG,3000
"HCG, BETA, TOTAL, QUANTITATIVE, 24 HOUR URINE",1200
"PROSTATE - SPECIFIC ANTIGEN, TOTAL",1200
SALICYLATE,1200
PROTEIN S ACTIVITY,9600
DIGOXIN - SERUM,1440
"CULTURE, AEROBIC, BODY FLUIDS, RAPID",1620
NOREPINEPHRINE - URINE,5340
GLUCOSE - CSF,480
MRI - CHEST / THORAX,6000
PAPP-A (PREGNANCY ASSOCIATED PLASMA PROTEIN-A),2220
"ENTEROHEMORRHAGIC E.COLI, VEROTOXIN 1 AND 2 ANTIGEN",3600
"PARVOVIRUS B19 ANTIBODY, IgM",4080
"CULTURED AFB ANTITUBERCULAR DST, CYCLOSERINE",4080
CULTURE AND SENSITIVITY - BODY FLUID,600
URINE SUGAR - RANDOM,100
FIBROBLAST GROWTH FACTOR-23,13200
ABSOLUTE RETICULOCYTE COUNT,240
FACTOR II,7020
"CULTURED AFB ANTITUBERCULAR DST, ETHAMBUTOL",3360
MRI - RIGHT SHOULDER WITHOUT CONTRAST,9600
FUNGAL STAIN - KOH & LPCB,600
"OPIATES CONFIRMATION, URINE",7320
OSMOLALITY - SERUM,984
CULTURE - BIOLOGICAL INDICATOR,540
CT - FACIAL BONES,4800
MRI - ORBIT WITHOUT CONTRAST,7200
COMPLEMENT C4,1560
MRI - NECK,6000
MIXING STUDIES - APTT,3600
"COCAINE AND METABOLITE CONFIRMATION, URINE",960
"HERPES SIMPLEX VIRUS (HSV) 1 and 2 ANTIBODIES PANEL, IgG And IgM,",3180
MRI - ANKLE SINGLE JOINT WITH CONTRAST,9600
H.PYLORI - IgG,2448
MRI - ABDOMEN WITH CONTRAST,9600
MRI - MRCP,6000
MRI - DORSAL/DORSO LUMBAR SPINE WITHOUT CONTRAST,9600
IRON STUDIES MONITORING PANEL,768
MICROFILARIA - MF,300
"LACTATE, VENOUS",1836
HBsAg - RAPID,300
PROTEIN ELECTROPHORESIS-24 HOURS URINE,2088
COLD AGGLUTININ TITER,984
"CULTURE, AEROBIC, CSF",1320
DOPPLER STUDY - BOTH LOWER LIMB VENOUS,4000
CULTURE AND SENSITIVITY - STOOL,600
CT - SCREENING CBD,4200
"CULTURE,AEROBIC,ENDOTRACHEAL (ET) SECRETIONS",1920
ELECTROPHORESIS OF SERUM PROTEINS,8568
OBESITY PANEL,7200
IMMUNOGLOBULIN G - IgG 4 SUBCLASS,12240
HPE ER/PR & Her-2/ Neu,1800
COPPER - SERUM,2208
TROPONIN I - QUALITATIVE,2460
"HEPATITIS B VIRUS (HBV DNA) PCR, QUALITATIVE",6900
MRI - BOTH KNEE,12000
CHOL / HDL RATIO,180
PLEURAL FLUID - WBC COUNT,360
CULTURE AND SENSITIVITY - SEMEN,1080
"CALCIUM ,CREATININE RATIO, RANDOM URINE",648
"POMPE DISEASE, QUANTITATIVE",30000
"CORTISOL, MIDNIGHT, SERUM",700
MRI - TEMPORAL BONE SCREENING,6000
HEPATITIS B PROFILE,4800
MEAN CORPUSCULAR HAEMOGLOBIN - MCH,150
CT - PELVIS WITHOUT CONTRAST,6600
DUAL MARKER TEST,4200
IMMUNOGLOBULIN E - IgE,1600
"CULTURE, ACTINOMYCES",1800
HIV ELISA,2448
ECG,180
FOLLICLE STIMULATING HORMONE - FSH,720
PLATELET DISTRIBUTION WIDTH - CV,1080
MRI - HIP JOINT,6000
CULTURE AND SENSITIVITY - SWAB,500
TOTAL ANTIOXIDANT STATUS,2400
CERULOPLASMIN,1560
BETA HYDROXY BUTYRATE KETONE,2640
C-PEPTIDE - PP,1260
HBeAg,3060
"ANTI A TITRE, IgG",1980
"CYTOMEGALOVIRUS (CMV) ANTIBODIES PANEL, IgG AND IgM, SERUM (CLIA)",1440
CT - LIMBS WITH CONTRAST,6600
HERPES SIMPLEX VIRUS (HSV) 2 IgM,1080
CHLAMYDIA TRACHOMATIS - IgG,2448
"CALCIUM, TOTAL and IONIZED",876
BACTERIAL MENINGITIS SCREEN,8640
BRUCELLA  ANTIBODY,4200
CARCINO EMBRYONIC ANTIGEN - CEA,918
PHENOBARBITONE,1680
NITROSONAPHTHOL,25200
DIHYDROTESTOSTERONE,3000
GALACTOSEMIA CLASSICAL (TRANSFERASE) QUANTITATIVE BLOOD,3600
CHIMERISM SPLIT CELL ANALYSIS - B CELL (CD19),13200
X-RAY - LUMBOSACRAL SPINE EXTENSION,500
HEMOPHILIA PANEL,39600
"PHENYLALANINE, NEWBORN SCREEN",7884
"NIEMANN PICK DISEASE, QUANTITATIVE, BLOOD",30000
ESTIMATED AVERAGE GLUCOSE,960
IRON STUDIES,1320
MRI - PELVIS WITHOUT CONTRAST,6000
FREE T3,350
CYTOLOGY  SPUTUM,600
ALPHA-1-ANTITRYPSIN QUANTITATION,4284
"COBALT, BLOOD",4320
HIRSUTISM PANEL,4200
CT - HRCT LUNG / CHEST / THORAX,6000
PAP SMEAR - LIQUID BASED CYTOLOGY,1476
"CALCIUM, RANDOM URINE",648
"NICKEL, RANDOM URINE",5400
"CATECHOLAMINES, RANDOM URINE",12000
MRI - CERVICAL SPINE,6000
C-REACTIVE PROTEIN - CRP,480
"OSTEOCALCIN BONE Gla PROTEIN (BGP), SERUM",3720
MRI - HEAD WITH CONTRAST,9600
"CULTURED AFB ANTITUBERCULAR DST, 12 DRUGS PANEL",20280
MEAN PLASMA GLUCOSE - MPG,4284
